Metadata_target_list_split_compact,Metadata_broad_sample
CYP2D6,BRD-K15502390-001-20-9
CYP2D6,BRD-K36740062-001-06-6
CYP2J2|PPARA,BRD-K01825690-065-01-9
CYP3A4,BRD-A09722536-002-18-0
CYP3A4,BRD-A37704979-001-12-3
CYP3A4,BRD-A99888680-001-05-3
CYP3A4,BRD-K01825690-065-01-9
CYP3A4,BRD-K15502390-001-20-9
CYP3A4,BRD-K34581968-001-05-3
CYP3A4,BRD-K36740062-001-06-6
CYP3A4,BRD-K59325863-001-04-4
CYP3A4,BRD-K63430059-001-16-4
CYP3A4,BRD-K97010173-001-04-1
CYP3A5,BRD-A09722536-002-18-0
CYP3A5,BRD-A99888680-001-05-3
CYP3A5,BRD-K01825690-065-01-9
CYP3A5,BRD-K15502390-001-20-9
DCK,BRD-K71106091-001-09-5
DCK,BRD-K91822704-003-07-2
DDR1,BRD-K61845293-300-01-9
DDR2,BRD-K16730910-001-07-3
DDR2,BRD-K61845293-300-01-9
DGKA|PPP2CA|PPP2CB|SEC14L2|SEC14L3|SEC14L4,BRD-K97091514-001-11-4
DHH|IHH|SMO,BRD-K50498985-001-03-3
DHH|IHH|SMO,BRD-K51265828-001-01-0
DHODH,BRD-K78692225-001-24-5
DLG4|GAMT,BRD-K76037122-001-02-5
DNMT1|DNMT3A,BRD-K03406345-001-21-1
DRD1|DRD2|DRD4,BRD-A99888680-001-05-3
DRD1|DRD2|DRD4,BRD-K18895904-001-16-1
DRD1|DRD2|DRD4,BRD-K70358946-001-17-3
DRD3,BRD-A99888680-001-05-3
DRD3,BRD-K18895904-001-16-1
DRD3,BRD-K68982262-001-01-4
DRD3,BRD-K70358946-001-17-3
DRD5,BRD-K18895904-001-16-1
DRD5,BRD-K70358946-001-17-3
DYRK1A,BRD-K66430217-001-03-8
DYRK1A,BRD-K89517477-001-01-4
DYRK1A,BRD-K97072811-001-11-4
DYRK1B,BRD-K80935598-001-01-1
DYRK1B,BRD-K89517477-001-01-4
DYRK1B,BRD-K97072811-001-11-4
EDNRB,BRD-K02490038-236-03-8
EDNRB,BRD-K98357249-001-02-9
EGFR,BRD-K32292990-001-03-6
EGFR,BRD-K55966568-001-09-6
EGFR,BRD-K81801188-001-02-8
ELANE,BRD-K31476763-001-01-5
ELANE,BRD-K37864785-001-01-0
ELANE,BRD-K59325863-001-04-4
EPHA2|FRK,BRD-K16730910-001-07-3
EPRS1|L3HYPDH|P4HA2|PARS2|PLPBP|PPIB|PPIC|PPIG|PPIH|PRODH|PYCR1|PYCR2|PYCR3|SLC6A14|SLC6A7,BRD-K01666412-001-02-0
ERBB2,BRD-K34581968-001-05-3
ERBB2,BRD-K61642990-001-01-0
ERBB2,BRD-K76908866-001-07-6
ESR1|ESR2,BRD-A01078468-001-14-8
ESR1|ESR2,BRD-K04210847-001-21-9
ESRRG|PRKCZ,BRD-K04210847-001-21-9
EZH2,BRD-K26989966-001-04-3
EZH2,BRD-K91535048-001-01-2
F10,BRD-K29322660-001-01-9
F10,BRD-K78126613-001-27-7
FES|ROS1,BRD-A23124853-001-01-4
FFAR2,BRD-A54139254-001-09-2
FFAR2,BRD-K05878375-236-05-7
FFAR4,BRD-K24282351-001-01-4
FFAR4,BRD-K26514105-001-01-7
FGF1,BRD-K29530284-001-06-2
FGF1,BRD-K74514084-003-09-2
FGFR1,BRD-K07881437-001-03-8
FGFR1,BRD-K16730910-001-07-3
FGFR1,BRD-K44227013-001-08-0
FGFR1,BRD-K55966568-001-09-6
FGFR1,BRD-K74514084-003-09-2
FGFR2,BRD-K16730910-001-07-3
FGFR2,BRD-K44227013-001-08-0
FGFR2,BRD-K55966568-001-09-6
FGFR3,BRD-K44227013-001-08-0
FGFR3,BRD-K74514084-003-09-2
FGFR4,BRD-K44227013-001-08-0
FLT1|FLT4,BRD-K16730910-001-07-3
FLT1|FLT4,BRD-K74514084-003-09-2
FLT1|FLT4,BRD-K86930074-001-05-0
FLT1|FLT4,BRD-K99616396-316-05-3
FLT3,BRD-K14560436-001-01-4
FLT3,BRD-K15819326-001-01-6
FLT3,BRD-K20986415-001-02-6
FLT3,BRD-K22149900-001-06-2
FLT3,BRD-K44227013-001-08-0
FLT3,BRD-K86930074-001-05-0
FLT3,BRD-K90747162-001-01-4
FLT3,BRD-K91283740-003-01-6
FNTA|HRAS|KRAS|NRAS,BRD-K41599323-001-02-3
FOXM1,BRD-A20697603-001-07-2
FOXM1,BRD-K58049875-001-03-9
FPR1,BRD-A36217750-001-16-3
FPR1,BRD-K13533483-001-16-2
GAA,BRD-A63310107-001-04-8
GAA,BRD-K20897876-001-11-8
GABBR1|GABBR2|KCTD12|KCTD16|KCTD8,BRD-A24122750-001-03-7
GABBR1|GABBR2|KCTD12|KCTD16|KCTD8,BRD-K01826724-003-07-9
GABRA1,BRD-A31564021-001-02-6
GABRA1,BRD-A51831848-001-01-7
GABRA1,BRD-A91822151-001-05-0
GABRA1,BRD-K18895904-001-16-1
GABRA1,BRD-K33882852-003-02-8
GABRA2|GABRA3|GABRA5|GABRB2|GABRG2,BRD-A31564021-001-02-6
GABRA2|GABRA3|GABRA5|GABRB2|GABRG2,BRD-A51831848-001-01-7
GABRA2|GABRA3|GABRA5|GABRB2|GABRG2,BRD-K18895904-001-16-1
GABRA2|GABRA3|GABRA5|GABRB2|GABRG2,BRD-K33882852-003-02-8
GABRA4|GABRA6|GABRB1|GABRB3|GABRD|GABRE|GABRG1|GABRG3|GABRP|GABRQ,BRD-A31564021-001-02-6
GABRA4|GABRA6|GABRB1|GABRB3|GABRD|GABRE|GABRG1|GABRG3|GABRP|GABRQ,BRD-A51831848-001-01-7
GABRA4|GABRA6|GABRB1|GABRB3|GABRD|GABRE|GABRG1|GABRG3|GABRP|GABRQ,BRD-K18895904-001-16-1
GABRR1,BRD-A91822151-001-05-0
GAK|MAPK10,BRD-A37704979-001-12-3
GANAB|GANC|MGAM,BRD-A63310107-001-04-8
GBA,BRD-K20897876-001-11-8
GHR,BRD-K44771174-066-01-0
GHSR,BRD-K02554563-001-01-6
GHSR,BRD-K44771174-066-01-0
GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1,BRD-K09338665-001-08-9
GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1,BRD-K44067360-001-29-5
GLRA1,BRD-A31564021-001-02-6
GLRA1,BRD-A51831848-001-01-7
GLRA1,BRD-A91822151-001-05-0
GLRA1,BRD-K00259736-001-16-4
GLRA1,BRD-K36461289-001-05-8
GLRA1,BRD-K42352790-001-05-3
GLRA2,BRD-A91822151-001-05-0
GLRA2,BRD-K00259736-001-16-4
GLRA2,BRD-K36461289-001-05-8
GLRA3,BRD-A91822151-001-05-0
GLRA3,BRD-K36461289-001-05-8
GLRB,BRD-A31564021-001-02-6
GLRB,BRD-A51831848-001-01-7
GLRB,BRD-A91822151-001-05-0
GLRB,BRD-K36461289-001-05-8
GP9,BRD-K48278478-001-01-2
GPR119,BRD-K48830578-001-01-9
GPR119,BRD-K77087341-001-02-4
GPR35|PDE9A,BRD-K16542329-001-16-8
GPR55,BRD-K27539181-001-08-5
GPR55,BRD-K42352790-001-05-3
GRIA1,BRD-A31564021-001-02-6
GRIA1,BRD-A51831848-001-01-7
GRIA1,BRD-K11796549-001-05-2
GRIA2|GRIA3|GRIA4|GRIK1,BRD-K11796549-001-05-2
GRIN1|GRIN2B,BRD-K11796549-001-05-2
GRIN1|GRIN2B,BRD-K59058747-001-19-1
GRIN2A,BRD-K09787262-001-02-7
GRIN2A,BRD-K11796549-001-05-2
GRIN2A,BRD-K59058747-001-19-1
GRIN3A,BRD-K24616672-003-20-1
GRIN3A,BRD-K59058747-001-19-1
GSK3B,BRD-A37704979-001-12-3
GSK3B,BRD-K20986415-001-02-6
GSK3B,BRD-K54330070-001-19-6
GSK3B,BRD-K62810658-001-11-4
GUCY1A1|GUCY1A2|GUCY1B1,BRD-K60476892-001-16-1
GUCY1A1|GUCY1A2|GUCY1B1,BRD-K84783599-001-01-0
GUCY1B2,BRD-K84783599-001-01-0
HBA1,BRD-K37355418-236-01-6
HBB,BRD-K29791386-001-01-8
HBB,BRD-K37355418-236-01-6
HCK,BRD-K47598052-001-14-1
HCK,BRD-K81801188-001-02-8
HDAC1|HDAC2,BRD-K05878375-236-05-7
HDAC1|HDAC2,BRD-K61397605-001-01-8
HDAC10,BRD-K36660044-001-24-2
HDAC3,BRD-K05878375-236-05-7
HDAC3,BRD-K61397605-001-01-8
HDAC3,BRD-K61688984-001-02-9
HDAC4|HDAC5|HDAC7|HDAC9,BRD-K61397605-001-01-8
HDAC6,BRD-K11558771-001-13-9
HDAC6,BRD-K36660044-001-24-2
HDAC6,BRD-K61397605-001-01-8
HDAC8,BRD-K05878375-236-05-7
HDAC8,BRD-K11558771-001-13-9
HDAC8,BRD-K61397605-001-01-8
HIF1A,BRD-K44432556-001-05-5
HIF1A,BRD-K70463136-001-01-5
HIF1A,BRD-K60476892-001-16-1
HMGB1,BRD-K47738867-001-01-5
HMGCR,BRD-K22134346-001-22-3
HPGDS,BRD-K17849083-001-32-9
HPGDS,BRD-K57708067-001-01-3
HPRT1,BRD-K32821942-001-22-1
HRH1,BRD-A99888680-001-05-3
HRH1,BRD-K17849083-001-32-9
HRH1,BRD-K18895904-001-16-1
HRH1,BRD-K67637637-003-11-8
HRH1,BRD-K70358946-001-17-3
HRH1,BRD-K70778732-003-27-5
HRH4,BRD-K18895904-001-16-1
HRH4,BRD-K70821460-300-02-4
HRH4,BRD-K75390981-300-04-9
HSD11B1,BRD-K18289362-001-02-2
HSD11B1,BRD-K80970344-201-08-6
HSP90AA1,BRD-K38852836-001-04-9
HSP90AA1,BRD-K43570081-001-02-4
HSP90AA1,BRD-K67915505-001-01-2
HSP90AB1,BRD-K43570081-001-02-4
HSP90AB1,BRD-K67915505-001-01-2
HTR1A,BRD-A72483914-001-03-7
HTR1A,BRD-A99888680-001-05-3
HTR1A,BRD-K18895904-001-16-1
HTR1A,BRD-K68982262-001-01-4
HTR1A,BRD-K70358946-001-17-3
HTR1A,BRD-K70778732-003-27-5
HTR1A,BRD-K72815923-034-02-0
HTR1B,BRD-K18895904-001-16-1
HTR1B,BRD-K68982262-001-01-4
HTR1B,BRD-K70358946-001-17-3
HTR1B,BRD-K72815923-034-02-0
HTR1D,BRD-A99888680-001-05-3
HTR1D,BRD-K18895904-001-16-1
HTR1D,BRD-K70358946-001-17-3
HTR1D,BRD-K72815923-034-02-0
